# Yarn → Mojmap 成员对照表（m413 gradlew mojmapMembers 生成，勿手改）
# 过滤：仅本仓源码出现过的标识符 × 名字确实变了的成员；列=种类(M/F)	Yarn名	Mojmap名	宿主类(样本)
F	SHAPES	SHAPE_PER_AGE	MangrovePropaguleBlock
F	SHAPES	shapesCache	MultifaceBlock
F	SIZE	BYTES	MessageSignature
F	SIZE	DEFAULT_SIZE	WoodlandMansionPieces$MansionGrid
F	SIZE	FRAME_SIZE	RealmsResetWorldScreen$FrameButton
F	SIZE	ID_SIZE	Phantom
F	SIZE	MAP_SIZE	MapItemSavedData
F	SIZE	SELF_SIZE_IN_BYTES	ByteArrayTag,ByteTag,CompoundTag,DoubleTag,EndTag,FloatTag
F	SLOT_Y	ROW_Y	MerchantMenu
F	SLOT_Y	SLOT_Y_PLACEMENT	AnvilMenu,SmithingMenu
F	SMELTING	SMELTING_RECIPE	RecipeSerializer
F	SOUTH	MAX_Z	FaceInfo$Constants
F	SOUTH	SOUTH_180	RotationSegment
F	SPYGLASS	SPYGLASS_MODEL	ItemRenderer
F	STRING	STRING_UTF8	ByteBufCodecs
F	TEXTURE	ALLAY_TEXTURE	AllayRenderer
F	TEXTURE	ANVIL_LOCATION	AnvilScreen
F	TEXTURE	ARMADILLO_LOCATION	ArmadilloRenderer
F	TEXTURE	BACKGROUND_SPRITE	AdvancementToast,RecipeToast,SystemToast,TutorialToast
F	TEXTURE	BAT_LOCATION	BatRenderer
F	TEXTURE	BEACON_LOCATION	BeaconScreen
F	TEXTURE	BEAR_LOCATION	PolarBearRenderer
F	TEXTURE	BEE_STINGER_LOCATION	BeeStingerLayer
F	TEXTURE	BG_LOCATION	CartographyTableScreen,LoomScreen,StonecutterScreen
F	TEXTURE	BLAZE_LOCATION	BlazeRenderer
F	TEXTURE	BOGGED_SKELETON_LOCATION	BoggedRenderer
F	TEXTURE	BREEZE_EYES	BreezeEyesLayer
F	TEXTURE	BREWING_STAND_LOCATION	BrewingStandScreen
F	TEXTURE	CAMEL_LOCATION	CamelRenderer
F	TEXTURE	CAT_OCELOT_LOCATION	OcelotRenderer
F	TEXTURE	CAVE_SPIDER_LOCATION	CaveSpiderRenderer
F	TEXTURE	CHECKBOX_SPRITE	Checkbox
F	TEXTURE	CHICKEN_LOCATION	ChickenRenderer
F	TEXTURE	COD_LOCATION	CodRenderer
F	TEXTURE	CONTAINER_BACKGROUND	ContainerScreen
F	TEXTURE	CONTAINER_LOCATION	CrafterScreen,DispenserScreen
F	TEXTURE	CONTAINER_TEXTURE	ShulkerBoxScreen
F	TEXTURE	COW_LOCATION	CowRenderer
F	TEXTURE	CRAFTING_TABLE_LOCATION	CraftingScreen
F	TEXTURE	CREEPER_LOCATION	CreeperRenderer
F	TEXTURE	DEFAULT_SKIN_LOCATION	ArmorStandRenderer
F	TEXTURE	DEFAULT_TEXTURE_LOCATION	ShulkerRenderer
F	TEXTURE	DOLPHIN_LOCATION	DolphinRenderer
F	TEXTURE	DRAGON_LOCATION	EnderDragonRenderer
F	TEXTURE	DROWNED_LOCATION	DrownedRenderer
F	TEXTURE	ENCHANTING_TABLE_LOCATION	EnchantmentScreen
F	TEXTURE	ENDERMAN_LOCATION	EndermanRenderer
F	TEXTURE	ENDERMITE_LOCATION	EndermiteRenderer
F	TEXTURE	END_CRYSTAL_LOCATION	EndCrystalRenderer
F	TEXTURE	EVOKER_ILLAGER	EvokerRenderer
F	TEXTURE	EXPERIENCE_ORB_LOCATION	ExperienceOrbRenderer
F	TEXTURE	GAMEMODE_SWITCHER_LOCATION	GameModeSwitcherScreen
F	TEXTURE	GHAST_LOCATION	GhastRenderer
F	TEXTURE	GLOW_SQUID_LOCATION	GlowSquidRenderer
F	TEXTURE	GOAT_LOCATION	GoatRenderer
F	TEXTURE	GOLEM_LOCATION	IronGolemRenderer
F	TEXTURE	GRINDSTONE_LOCATION	GrindstoneScreen
F	TEXTURE	GUARDIAN_ELDER_LOCATION	ElderGuardianRenderer
F	TEXTURE	GUARDIAN_LOCATION	GuardianRenderer
F	TEXTURE	HOGLIN_LOCATION	HoglinRenderer
F	TEXTURE	HOPPER_LOCATION	HopperScreen
F	TEXTURE	HORSE_INVENTORY_LOCATION	HorseInventoryScreen
F	TEXTURE	HUSK_LOCATION	HuskRenderer
F	TEXTURE	ILLUSIONER	IllusionerRenderer
F	TEXTURE	KNOT_LOCATION	LeashKnotRenderer
F	TEXTURE	LLAMA_SPIT_LOCATION	LlamaSpitRenderer
F	TEXTURE	MAGMACUBE_LOCATION	MagmaCubeRenderer
F	TEXTURE	MINECART_LOCATION	MinecartRenderer
F	TEXTURE	NORMAL_ARROW_LOCATION	TippableArrowRenderer
F	TEXTURE	PHANTOM_LOCATION	PhantomRenderer
F	TEXTURE	PIG_LOCATION	PigRenderer
F	TEXTURE	PILLAGER	PillagerRenderer
F	TEXTURE	PUFFER_LOCATION	PufferfishRenderer
F	TEXTURE	RECIPE_BOOK_LOCATION	RecipeBookComponent
F	TEXTURE	RED_FOX_TEXTURE	FoxRenderer
F	TEXTURE	SALMON_LOCATION	SalmonRenderer
F	TEXTURE	SHEEP_LOCATION	SheepRenderer
F	TEXTURE	SILVERFISH_LOCATION	SilverfishRenderer
F	TEXTURE	SKELETON_LOCATION	SkeletonRenderer
F	TEXTURE	SLIDER_SPRITE	AbstractSliderButton
F	TEXTURE	SLIME_LOCATION	SlimeRenderer
F	TEXTURE	SLOT_FRAME_SPRITE	RealmsResetWorldScreen$FrameButton
F	TEXTURE	SNIFFER_LOCATION	SnifferRenderer
F	TEXTURE	SNOW_GOLEM_LOCATION	SnowGolemRenderer
F	TEXTURE	SPECTRAL_ARROW_LOCATION	SpectralArrowRenderer
F	TEXTURE	SPIDER_LOCATION	SpiderRenderer
F	TEXTURE	SQUID_LOCATION	SquidRenderer
F	TEXTURE	STRAY_SKELETON_LOCATION	StrayRenderer
F	TEXTURE	STRIDER_LOCATION	StriderRenderer
F	TEXTURE	TADPOLE_TEXTURE	TadpoleRenderer
F	TEXTURE	TELEPORT_TO_TEAM_SPRITE	TeleportToTeamMenuCategory
F	TEXTURE	TEXTURE_LOCATION	BreezeRenderer,BreezeWindLayer,DragonFireballRenderer,EvokerFangsRenderer,FishingHookRenderer,RavagerRenderer
F	TEXTURE	TRIDENT_LOCATION	ThrownTridentRenderer
F	TEXTURE	TURTLE_LOCATION	TurtleRenderer
F	TEXTURE	VEX_LOCATION	VexRenderer
F	TEXTURE	VILLAGER_BASE_SKIN	VillagerRenderer,WanderingTraderRenderer
F	TEXTURE	VILLAGER_LOCATION	MerchantScreen
F	TEXTURE	VINDICATOR	VindicatorRenderer
F	TEXTURE	WITCH_LOCATION	WitchRenderer
F	TEXTURE	WITHER_LOCATION	WitherBossRenderer,WitherSkullRenderer
F	TEXTURE	WITHER_SKELETON_LOCATION	WitherSkeletonRenderer
F	TEXTURE	ZOGLIN_LOCATION	ZoglinRenderer
F	TEXTURE	ZOMBIE_LOCATION	AbstractZombieRenderer,GiantMobRenderer
F	TEXTURE	ZOMBIE_VILLAGER_LOCATION	ZombieVillagerRenderer
F	TITLE	CONTAINER_TITLE	AnvilBlock,CartographyTableBlock,CraftingTableBlock,GrindstoneBlock,LoomBlock,StonecutterBlock
F	TITLE	CRAFT_TITLE	CraftPlanksTutorialStep
F	TITLE	TITLE_TEXT	RecipeToast
F	TOP	TOP_Y	SculkShriekerBlock
F	TYPE	DATA_TYPE	MushroomCow
F	TYPE	DATA_TYPE_ID	Fox
F	TYPE	NO_TOKEN	Toast
F	TYPE	SOUND_EVENT_REGISTRATION_TYPE	SoundManager
F	UP	MAX_Y	FaceInfo$Constants
F	WATER	DEFAULT	ItemPotionFix
F	WATER	FILL_BLOCK	OceanMonumentPieces$OceanMonumentPiece
F	WEST	MIN_X	FaceInfo$Constants
F	WEST	WEST_270	RotationSegment
F	WIDTH	BANNER_WIDTH	BannerRenderer
F	WIDTH	BAR_WIDTH	BossHealthOverlay
F	WIDTH	DATA_WIDTH_ID	Display,Interaction
F	WIDTH	HITBOX_WIDTH	Tadpole
F	WIDTH	IMAGE_WIDTH	BookEditScreen,BookViewScreen
F	WIDTH	MISSING_IMAGE_WIDTH	MissingTextureAtlasSprite
F	WIDTH	SKIN_WIDTH	HttpTexture
F	X	X_ROT	VariantProperties
F	Y	Y_ROT	VariantProperties
F	YELLOW	COLOR_YELLOW	MapColor
F	YELLOW	PLAYER_LIST_DEFAULT	StyledFormat
F	ZERO	AT_FEET	EntityAttachment$Fallback
F	ZERO	EMPTY	IndirectMerger
F	ZERO	PADDING_BUFFER	RegionFile
F	action	compiledAction	MacroFunction$PlainTextEntry
F	action	operation	ClientboundBossEventPacket
F	action	state	ClientboundRecipePacket
F	action	updateType	ServerboundSetStructureBlockPacket
F	actionType	clickType	ServerboundContainerClickPacket
F	active	isActive	ConduitBlockEntity
F	active	isRunning	MetricSampler,PanicGoal,TemptGoal
F	active	jump	JumpControl
F	active	running	ServerConnectionListener
F	alpha	a	BakedGlyph$Effect,Font$StringRenderOutput
F	alpha	fade	AdvancementTab
F	alpha	teamA	OutlineBufferSource
F	amount	removeCount	FurnaceResultSlot,MerchantResultSlot,ResultSlot
F	amount	value	ExperienceOrb
F	animation	animatedTexture	SpriteContents
F	animation	animationInfo	SpriteContents$Ticker
F	argument	key	Ticket
F	atlas	atlasLocation	Material
F	atlas	textureAtlas	TextureAtlasHolder
F	auto	automatic	CommandBlock
F	back	backSide	DecoratedPotRenderer
F	bar	raidEvent	Raid
F	base	parent	RegistrySetBuilder$EmptyTagLookupWrapper
F	base	primaryPackResources	CompositePackResources
F	before	parents	AdvancementCommands$Mode
F	block	blockState	FallingBlockEntity
F	block	next	StructurePiece$BlockSelector
F	blockPos	blockPosition	Camera,Entity
F	blockPos	pos	TerrainParticle
F	blocks	blockList	ResourceFilterSection
F	blocks	toIgnore	BlockIgnoreProcessor
F	blocks	validBlocks	BlockEntityType,BlockEntityType$Builder
F	body	bodyParts	SilverfishModel
F	body	contentsFrame	HeaderAndFooterLayout
F	body	list	OptionsSubScreen
F	book	bookModel	EnchantTableRenderer,LecternRenderer
F	border	worldBorder	BorderChangeListener$DelegateBorderChangeListener,Level
F	bottom	base	EndCrystalRenderer
F	box	aabb	EntitySelector
F	box	rowBounds	StructureGridSpawner
F	buf	buffer	FastBufferedInputStream
F	buffer	bytes	Screenshot
F	buffer	currentBuffer	ChunkedSampleByteBuf
F	buffer	fontMemory	TrueTypeGlyphProvider
F	buffer	immediateDrawVertexBuffer	VertexFormat
F	buffer	map	SpatialLongSet
F	buffer	vertexBuffer	MeshData
F	button	buttonNum	ServerboundContainerClickPacket
F	callback	callbacksRegistry	TimerQueue
F	callback	developmentConfig	VanillaPackResourcesBuilder
F	callback	onProceed	BackupConfirmScreen
F	callback	onValueChange	Checkbox,Checkbox$Builder,CycleButton
F	callback	resetWorldRunnable	RealmsResetWorldScreen
F	callback	task	ChunkTaskPriorityQueueSorter$Release
F	callback	vibrationUser	SculkSensorBlockEntity
F	camera	mainCamera	GameRenderer
F	cap	state	GlStateManager$BooleanState
F	capacity	max	MobCategory
F	category	bookType	ServerboundRecipeBookChangeSettingsPacket
F	category	descriptionId	GameRules$Category
F	category	recipeBookType	AbstractFurnaceMenu
F	category	sentiment	Attribute
F	category	source	AbstractSoundInstance,ClientboundSoundEntityPacket,ClientboundSoundPacket,ClientboundStopSoundPacket
F	center	forward	Camera$NearPlane
F	center	pos	FoliagePlacer$FoliageAttachment
F	chance	interval	DolphinJumpGoal,RandomStrollGoal
F	chance	probability	LookAtPlayerGoal
F	chance	tickChance	AmbientAdditionsSettings
F	changeCount	timesChanged	Inventory
F	changes	components	HoverEvent$ItemStackInfo,SetComponentsFunction
F	changes	map	DataComponentPatch$Builder
F	chest	hasChest	BoatItem
F	chest	isChestBoat	BoatDispenseItemBehavior
F	children	childPieces	OceanMonumentPieces$MonumentBuilding
F	children	entries	AlternativesEntry$Builder
F	children	pieceContainer	StructureStart
F	children	pieces	JigsawPlacement$Placer
F	children	skipGeneratingModelsFor	BlockModelGenerators$BlockFamilyProvider
F	chunk	cachedBlockGetter	BlockCollisions
F	chunk	clientChunk	DebugScreenOverlay
F	chunk	section	SectionOcclusionGraph$Node
